id,name,createdAt,updatedAt
1,Secundaria,2024-03-05 12:06:17,2024-03-05 12:06:17
2,Primaria,2024-03-05 12:06:28,2024-03-05 12:06:28
3,Universidad,2024-03-05 12:06:35,2024-03-05 12:06:35
4,Master,2024-03-05 12:06:40,2024-03-05 12:06:40
5,Oposiciones,2024-03-05 12:09:14,2024-03-05 12:09:14
